-17.041	 31.126
-15.729	 17.198
6.066	 20.716
4.549	 21.558
-18.815	 30.582
8.352	 20.735
-15.198	 15.894
0.933	 25.066
-14.561	 14.497
6.580	 22.219
1.775	 23.931
-14.676	 16.942
-14.634	 15.762
-13.890	 14.749
-16.530	 31.037
6.374	 24.231
7.983	 21.638
6.943	 22.733
7.342	 21.891
-16.209	 18.706
-16.633	 19.875
-18.596	 30.970
-18.407	 26.074
-13.582	 13.639
-13.974	 13.587
3.022	 22.591
6.598	 19.772
3.887	 21.461
7.207	 19.913
-18.086	 31.108
6.480	 21.071
6.858	 21.612
-7.644	 27.197
-15.856	 30.855
-15.086	 30.617
-14.137	 30.265
-16.696	 31.053
-16.138	 30.852
-17.688	 31.057
-17.331	 31.152
-17.544	 31.176
-13.248	 12.798
-12.733	 13.053
-15.266	 30.635
-13.064	 29.833
8.046	 22.806
7.160	 23.216
-10.077	 26.178
-10.791	 27.577
-10.229	 27.714
-2.984	 22.656
-14.204	 30.161
-11.356	 28.809
-12.958	 29.695
-8.487	 27.595
-9.486	 28.123
-10.329	 28.430
-17.494	 28.432
-9.141	 26.093
-6.972	 24.830
-13.188	 27.646
-11.997	 27.422
-12.096	 12.306
-15.292	 29.944
-5.017	 23.856
-6.646	 24.988
-8.304	 26.515
-4.308	 23.629
-17.237	 29.100
-12.032	 11.860
-12.620	 12.216
-11.902	 29.312
-10.683	 28.728
-18.637	 28.967
-17.042	 30.616
-16.358	 30.575
-15.207	 18.133
-15.926	 18.955
-18.808	 28.740
-18.752	 28.223
-18.825	 28.279
-18.558	 27.436
-18.975	 30.066
-18.949	 29.412
-18.908	 28.881
-11.064	 12.272
-14.969	 18.835
-18.749	 27.776
-18.609	 27.076
-17.127	 29.278
-17.116	 29.976
-17.447	 29.950
-15.575	 19.912
-2.466	 22.428
-5.679	 24.978
-15.360	 20.702
-16.258	 20.149
-0.245	 26.326
-18.953	 30.467
-0.433	 26.294
0.424	 26.117
0.300	 26.249
-16.847	 25.372
-2.933	 30.512
-3.198	 31.510
-1.133	 27.719
-1.033	 27.660
-6.787	 26.771
-6.808	 26.520
-1.989	 25.253
-2.196	 24.321
-2.760	 24.215
1.761	 25.842
-18.135	 26.662
1.249	 17.060
-2.556	 26.106
-1.952	 26.175
-17.579	 27.922
-18.067	 27.993
-1.134	 26.252
-0.500	 26.270
1.094	 26.031
1.099	 25.974
-2.400	 25.646
-1.836	 26.053
-3.527	 23.540
-17.157	 27.219
-17.300	 26.603
-17.885	 27.230
-4.936	 24.664
-4.555	 25.005
-5.419	 25.427
-18.100	 29.955
-6.217	 36.458
-6.078	 37.068
-0.957	 26.162
-1.293	 25.803
-1.191	 26.205
-7.989	 27.203
-6.765	 8.526
-5.446	 34.791
-17.620	 29.380
-17.784	 29.081
-17.444	 29.026
2.422	 25.572
1.087	 26.271
0.420	 26.307
-11.792	 12.041
-17.889	 25.690
5.019	 24.010
2.642	 25.509
-4.532	 33.169
-4.842	 34.129
-5.801	 26.419
2.242	 25.708
1.732	 25.928
4.865	 24.940
5.504	 24.451
-4.841	 26.052
-4.217	 25.346
-12.268	 28.290
-14.040	 29.588
-11.871	 11.891
-17.834	 23.748
-3.464	 23.813
-2.709	 23.377
-16.554	 28.765
-16.439	 29.123
5.303	 24.153
-3.989	 26.027
-3.459	 25.128
-3.302	 25.973
-2.999	 25.589
-11.081	 11.419
4.375	 24.496
4.456	 24.565
-17.245	 24.876
-10.568	 10.837
-8.890	 9.514
3.640	 24.895
3.753	 24.999
6.314	 22.776
5.785	 23.562
6.378	 23.016
5.953	 23.175
5.588	 23.576
-17.519	 23.592
-10.944	 11.633
-11.074	 11.698
-11.087	 11.880
2.795	 25.339
2.042	 25.633
2.918	 25.342
-11.587	 11.946
3.227	 25.264
3.875	 25.082
-16.981	 20.957
-17.334	 22.439
-16.878	 21.194
-10.093	 11.411
-9.484	 10.247
-10.990	 11.786
3.947	 23.408
-18.127	 24.930
-17.900	 24.759
-17.264	 21.796
-17.540	 22.729
-10.498	 11.328
-10.747	 11.501
-15.863	 22.064
-16.902	 23.466
-5.573	 11.268
2.480	 23.427
2.087	 24.755
3.652	 24.223
-18.036	 30.356
-7.694	 9.328
-4.385	 11.853
-11.462	 12.022
-7.596	 12.767
-10.232	 11.388
-10.344	 11.371
-10.646	 11.335
-10.890	 11.505
-11.315	 11.795
-11.414	 22.196
0.027	 24.859
-3.528	 25.052
-10.614	 21.548
-13.517	 19.843
-8.711	 10.722
-7.531	 12.622
-9.766	 11.543
-9.905	 11.057
-9.817	 11.240
-18.331	 30.990
-18.753	 30.942
-18.772	 29.853
-18.325	 29.769
-9.674	 11.600
-9.284	 11.734
-15.477	 28.560
-14.920	 28.862
-9.208	 12.197
-10.843	 11.603
-10.946	 11.683
-7.562	 26.351
-8.690	 27.435
0.168	 23.662
-5.094	 21.436
-10.667	 22.344
-9.971	 11.616
0.575	 15.409
-4.718	 18.492
-41.821	 -8.905
-28.598	 1.332
-10.554	 11.450
-10.718	 11.516
-10.807	 11.822
-4.304	 10.719
-10.989	 11.757
-9.846	 11.492
-6.266	 10.491
-5.187	 10.174
-10.661	 23.714
-9.296	 23.382
-7.985	 24.319
-8.652	 11.666
-8.250	 12.149
-7.435	 10.165
-1.326	 13.847
-3.412	 12.016
-9.081	 12.005
-8.474	 12.270
-8.709	 12.027
-9.582	 11.069
-10.905	 11.823
-10.984	 11.805
-4.675	 9.002
-5.492	 9.227
2.430	 18.423
-10.609	 11.218
-10.983	 11.533
-4.877	 12.151
-6.189	 11.644
-0.167	 15.450
-0.074	 14.293
-8.345	 11.495
-8.945	 11.002
-10.151	 11.272
-10.276	 11.237
-10.322	 11.712
-10.841	 11.776
-10.895	 11.818
-11.017	 11.844
-8.869	 10.553
-9.500	 11.084
-2.609	 13.439
-3.935	 12.521
0.085	 15.790
-1.231	 14.409
-9.917	 11.443
-10.394	 11.136
-11.367	 11.948
-11.209	 11.858
-9.515	 11.419
-9.631	 11.490
-10.322	 11.485
-9.860	 11.581
-10.528	 11.617
-10.445	 11.454
-7.498	 11.575
-9.164	 11.482
3.859	 22.178
3.406	 20.814
-11.464	 11.630
-10.871	 11.468
-10.301	 12.159
-10.130	 11.821
-11.062	 11.832
-11.021	 11.803
-2.768	 17.200
-9.343	 10.652
-9.884	 10.914
-2.537	 11.279
-3.818	 10.292
0.303	 18.228
2.521	 21.311
-17.220	 -26.070
1.355	 26.510
-1.521	 23.393
9.608	 21.408
4.673	 26.077
3.259	 25.190
10.300	 25.191
-16.832	 -10.482
10.898	 25.660
9.852	 21.163
3.033	 25.105
2.495	 25.659
2.240	 26.443
10.743	 23.943
8.828	 23.590
9.702	 23.001
9.434	 26.387
-17.258	 -18.381
-20.906	 -14.311
-17.358	 -8.921
-20.372	 -6.663
-12.048	 11.638
8.457	 25.204
8.731	 27.942
7.293	 28.253
-23.504	 -25.794
-14.602	 -7.744
8.360	 20.156
4.877	 28.423
4.607	 19.882
9.835	 25.304
4.270	 26.965
2.697	 27.634
3.108	 27.047
7.174	 25.798
6.292	 25.178
-25.221	 8.922
-27.501	 -4.003
-16.216	 -4.305
2.937	 24.139
7.863	 25.037
6.825	 21.762
-8.936	 18.334
-13.317	 17.519
-13.929	 18.428
-10.167	 16.946
3.823	 25.028
-31.061	 6.184
-33.135	 -10.328
-10.248	 -6.760
-13.244	 -6.791
-17.283	 17.617
2.544	 27.258
4.191	 28.914
2.220	 27.909
5.110	 28.109
3.962	 28.313
-0.034	 26.411
-0.731	 25.963
0.717	 27.012
-11.025	 18.659
-11.758	 18.547
-4.358	 9.341
-0.067	 23.028
1.215	 24.623
-9.477	 20.082
-5.285	 7.277
-9.161	 16.358
-8.467	 15.371
-3.120	 -0.418
-14.420	 15.791
-13.786	 3.078
-13.600	 16.694
5.152	 25.343
6.250	 27.383
-2.946	 16.490
-13.464	 19.050
2.399	 23.670
2.702	 20.919
-2.240	 -1.267
-2.618	 0.254
-9.809	 18.323
-12.062	 17.520
-11.284	 18.125
-11.671	 17.032
-10.267	 17.747
-10.517	 16.692
-11.990	 13.630
-11.017	 15.562
-8.608	 11.773
-9.515	 18.503
-10.483	 17.757
-9.895	 16.072
-10.433	 15.078
-2.591	 -0.168
-3.733	 2.998
-2.626	 11.802
-3.877	 11.037
-13.583	 18.303
3.976	 25.336
-4.195	 8.300
-4.242	 8.218
-3.652	 1.484
-12.150	 16.040
-11.799	 15.429
-9.231	 11.427
-9.267	 14.050
-10.239	 14.080
-6.482	 7.972
-12.940	 15.619
-9.604	 5.950
-11.734	 7.422
4.455	 26.759
5.021	 26.876
-5.299	 9.743
-5.828	 10.520
-14.272	 20.107
-3.194	 -1.480
-4.285	 3.083
-4.903	 7.034
-2.948	 10.361
-13.017	 15.910
-7.618	 11.154
-8.414	 11.499
-6.622	 13.017
-11.024	 13.346
-8.261	 12.242
-8.970	 12.124
-6.889	 6.923
-5.966	 6.345
-5.232	 6.267
-4.769	 6.317
-11.838	 17.249
-4.589	 5.994
-5.521	 5.234
-8.887	 8.004
6.000	 17.878
9.667	 18.348
-6.794	 9.102
-8.751	 10.985
-7.159	 10.906
-4.958	 14.363
-4.699	 5.170
-4.913	 6.475
-8.880	 17.806
-9.498	 18.218
-4.904	 7.058
-2.437	 21.827
-9.059	 8.824
-9.651	 9.734
-7.967	 7.771
-8.732	 9.860
-8.367	 -3.932
