15.240	 8.746
16.131	 9.612
-8.272	 17.023
-42.458	 -6.615
-1.591	 41.726
16.130	 9.381
-9.083	 13.428
-9.812	 13.176
-16.024	 11.829
-6.806	 15.047
-30.233	 5.434
2.808	 40.206
-35.295	 1.340
11.272	 27.326
-0.232	 41.766
-6.344	 14.026
-8.149	 16.708
16.042	 9.080
-6.059	 13.657
-14.735	 12.224
-6.951	 13.655
13.471	 20.202
11.783	 25.536
13.959	 18.037
-6.255	 13.519
15.561	 12.282
-8.321	 17.250
-10.592	 35.365
-10.957	 28.714
-10.843	 35.013
-10.947	 28.394
-39.102	 -2.344
-6.595	 14.709
-41.251	 -4.774
-6.945	 14.041
-7.998	 16.477
-8.223	 13.488
-6.683	 14.139
-11.436	 12.981
15.335	 13.129
15.341	 8.743
2.669	 40.524
-6.716	 14.972
-2.952	 41.954
-10.985	 33.497
4.219	 38.615
1.381	 40.731
-10.703	 27.219
-10.716	 27.891
-8.117	 17.178
-7.775	 16.105
-11.126	 33.021
15.360	 11.875
5.539	 37.332
-8.753	 39.636
-8.522	 18.628
-10.807	 27.510
-12.557	 12.605
-8.762	 39.015
-9.494	 23.853
12.382	 23.768
8.651	 32.584
-8.270	 17.569
-7.520	 15.829
11.201	 27.690
-5.154	 42.464
-9.734	 24.046
7.752	 34.255
15.940	 9.601
-8.884	 21.684
-10.316	 36.287
6.603	 35.706
-5.979	 42.254
-7.952	 18.071
-10.831	 13.256
-9.786	 24.401
-6.382	 14.223
-9.520	 23.367
-9.103	 21.741
-8.689	 21.021
-8.490	 18.339
-5.272	 13.236
-8.373	 17.512
-10.826	 35.669
-7.779	 16.223
-8.623	 19.349
-6.559	 13.067
-8.370	 18.384
-10.952	 28.155
-9.141	 23.000
-7.775	 13.802
-10.277	 25.741
14.865	 12.175
15.798	 11.555
12.692	 22.100
-9.774	 13.452
-10.041	 37.595
-9.865	 25.104
-13.726	 12.591
-8.134	 17.025
-10.116	 37.849
6.607	 36.136
